band,access_class,doi,work_id,year,oa_status,detail,title
identified_core,oa_but_blocked,https://doi.org/10.1016/j.jdeveco.2008.11.005,W2131506957,2008,green,curl_error:6,Causal effects of sex preference on sex-blind and sex-selective child avoidance and substitution across birth years: Evi
identified_core,oa_but_blocked,https://doi.org/10.1007/s00148-022-00896-z,W4226069296,2022,hybrid,not_pdf_html_paywall,Unwanted daughters: the unintended consequences of a ban on sex-selective abortions on the educational attainment of wom
identified_core,oa_but_blocked,https://doi.org/10.1080/17441730.2021.1992858,W3209243667,2021,hybrid,not_pdf_html_paywall,"Son preference, gender asymmetries and parity progressions: the case of Kyrgyzstan"
identified_core,oa_but_blocked,https://doi.org/10.1080/21665095.2014.948898,W2115690823,2014,gold,not_pdf_html_paywall,Impact of fertility on objective and subjective poverty in Malawi
identified_core,oa_but_blocked,https://doi.org/10.1007/s13524-012-0194-9,W2036598350,2013,bronze,not_pdf_html_paywall,"Skewed Sex Ratios in India: “Physician, Heal Thyself”"
identified_core,oa_but_blocked,https://doi.org/10.1111/rode.13066,W4388228903,2023,hybrid,not_pdf_html_paywall,Reassessing the relationship between women's empowerment and fertility: Evidence from India
identified_core,oa_but_blocked,https://doi.org/10.1007/s11698-023-00267-y,W4362581102,2023,hybrid,not_pdf_html_paywall,"Economic development, female wages and missing female births in Spain, 1900–1930"
identified_core,oa_but_blocked,https://doi.org/10.1093/wbro/lkn005,W2114947228,2008,green,not_pdf_html_paywall,Can Biological Factors Like Hepatitis B Explain the Bulk of Gender Imbalance in China? A Review of the Evidence
identified_core,oa_but_blocked,https://doi.org/10.1007/s12546-019-09224-x,W2943970741,2019,hybrid,not_pdf_html_paywall,Transition to third birth among immigrant mothers in Sweden: Does having two daughters accelerate the process?
identified_core,oa_but_blocked,https://doi.org/10.1037/e602422012-001,W3124082852,2008,gold,not_pdf_html_paywall,"Development, Modernization, and Son Preference in Fertility Decisions"
identified_core,oa_but_blocked,https://doi.org/10.1093/oso/9780198829591.003.0014,W2766601420,2018,gold,"empty_or_tiny,not_pdf_html_paywall","The Effect of China’s One Child Policy on Sex Selection, Family Size, and the School Enrolment of Daughters"
