band,access_class,doi,work_id,year,oa_status,detail,title
identified_core,closed,https://doi.org/10.1093/humrep/13.2.394,W2069267204,1998,closed,closed,Post-ovulatory ageing of the human oocyte and embryo failure
identified_core,closed,,W45210384,1996,closed,closed,Estimates of human fertility and pregnancy loss.
identified_core,closed,https://doi.org/10.1093/humrep/deh173,W2152804981,2004,closed,closed,Mucus observations in the fertile window: a better predictor of conception than timing of intercourse
identified_core,closed,https://doi.org/10.1016/s0029-7844(02)02382-7,W2037851474,2002,closed,closed,Timing intercourse to achieve pregnancy Current evidence
identified_core,closed,https://doi.org/10.2307/1972469,W2066979448,1982,closed,closed,The Causes of Demographic Change in Rural South India: A Micro Approach
identified_core,closed,https://doi.org/10.1002/hon.802,W2130207527,2006,closed,closed,Fertility among female hodgkin lymphoma survivors attempting pregnancy following ABVD chemotherapy
identified_core,closed,https://doi.org/10.2307/2530453,W2013703404,1982,closed,closed,"Basal Body Temperature, Ovulation and the Risk of Conception, with Special Reference to the Lifetimes of Sperm and Egg"
identified_core,closed,https://doi.org/10.1353/sof.2002.0030,W2141955160,2002,closed,closed,The Short- and Long-Term Effects of U.S. Migration Experience on Mexican Women's Fertility
identified_core,closed,https://doi.org/10.1097/01.ede.0000190540.95748.e6,W2017361757,2005,closed,closed,Menstrual Cycle Characteristics
identified_core,closed,https://doi.org/10.1080/00324728.1980.10410398,W2003657793,1980,closed,closed,"Fecundability, coital frequency and the viability of Ova"
identified_core,closed,https://doi.org/10.1001/jama.1956.02970090081016,W1988924576,1956,closed,closed,FACTORS AFFECTING NORMAL EXPECTANCY OF CONCEPTION
identified_core,closed,https://doi.org/10.2307/1973052,W2093589521,1983,closed,closed,"Marriage, Sex, and the First Birth Interval: The Quiet Revolution in Asia"
identified_core,closed,https://doi.org/10.3109/13625187.2014.988210,W2126316827,2015,closed,closed,Identification and prediction of the fertile window using NaturalCycles
identified_core,closed,https://doi.org/10.1016/s0029-7844(03)00358-2,W1994177621,2003,closed,closed,Vulvar mucus observations and the probability of pregnancy
identified_core,closed,https://doi.org/10.1093/humrep/12.12.2607,W1967818337,1997,closed,closed,Preimplantation hormonal differences between the conception and non- conception menstrual cycles of 32 normal women
identified_core,closed,https://doi.org/10.1093/humrep/12.10.2324,W2155438812,1997,closed,closed,A prospective study of psychosocial stress and fertility in women
identified_core,closed,https://doi.org/10.1080/19485565.1994.9988857,W1986512561,1994,closed,closed,Impact of migration on fertility in sub‐Saharan Africa
identified_core,closed,https://doi.org/10.1097/00005721-200509000-00004,W2015903382,2005,closed,closed,Basal Body Temperature Assessment
identified_core,closed,https://doi.org/10.1016/j.ejogrb.2005.07.024,W2170091805,2005,closed,closed,Cervical mucus secretions on the day of intercourse: An accurate marker of highly fertile days
identified_core,closed,https://doi.org/10.1093/humrep/dem051,W2100091699,2007,closed,closed,The length of the fertile window is associated with the chance of spontaneously conceiving an ongoing pregnancy in subfe
