effect_id,study_id,country_or_region,period_start,period_end,estimand_label,outcome_name,harmonized_outcome_unit,treatment_scale_harmonized,availability_oriented_effect,availability_oriented_se,tfr_start,tfr_end,observed_tfr_decline,effect_share_of_observed_decline,slope_sufficiency_label,comparison_basis,interpretation,caveat
eibich_siedler_2020_germany_parental_retirement_e01,eibich_siedler_2020_germany_parental_retirement,Germany,1984,2017,"Fuzzy RDD paternal early retirement, all adult children",grandchild birth in year t + 1,probability_of_birth,parental_retirement_iv_binary_exposure,0.166,0.04,1.3889,1.5696,,,not_applicable_no_observed_decline,absolute availability-oriented effect divided by absolute observed TFR decline over the study window,No slope-sufficiency share computed because TFR did not decline in Germany over this study window.,"Noob-scale comparison only: outcomes include probabilities and births per woman, while observed decline is TFR; use for slope-sufficiency screening, not coefficient pooling."
eibich_siedler_2020_germany_parental_retirement_e02,eibich_siedler_2020_germany_parental_retirement,Germany,1984,2017,"Fuzzy RDD maternal early retirement, all adult children",grandchild birth in year t + 1,probability_of_birth,parental_retirement_iv_binary_exposure,0.114,0.054,1.3889,1.5696,,,not_applicable_no_observed_decline,absolute availability-oriented effect divided by absolute observed TFR decline over the study window,No slope-sufficiency share computed because TFR did not decline in Germany over this study window.,"Noob-scale comparison only: outcomes include probabilities and births per woman, while observed decline is TFR; use for slope-sufficiency screening, not coefficient pooling."
ilciukas_2023_netherlands_parental_retirement_e01,ilciukas_2023_netherlands_parental_retirement,Netherlands,2004,2021,Main-sample reduced-form effect of 2006 reform via mothers,number of children born before the end of 2021,births_per_woman,delayed_maternal_retirement_reform_assignment,0.056,0.021,1.7215,1.6242,0.0973,0.5755,large,absolute availability-oriented effect divided by absolute observed TFR decline over the study window,Effect is about 57.6% of the observed SDT TFR decline in Netherlands.,"Noob-scale comparison only: outcomes include probabilities and births per woman, while observed decline is TFR; use for slope-sufficiency screening, not coefficient pooling."
ilciukas_2023_netherlands_parental_retirement_e02,ilciukas_2023_netherlands_parental_retirement,Netherlands,2004,2021,Main-sample IV fertility-retirement trade-off via mothers,number of children born before the end of 2021,births_per_woman,one_year_maternal_retirement_delay_iv,0.266,0.131,1.7215,1.6242,0.0973,2.7338,large,absolute availability-oriented effect divided by absolute observed TFR decline over the study window,Effect is about 273.4% of the observed SDT TFR decline in Netherlands.,"Noob-scale comparison only: outcomes include probabilities and births per woman, while observed decline is TFR; use for slope-sufficiency screening, not coefficient pooling."
ilciukas_2023_netherlands_parental_retirement_e03,ilciukas_2023_netherlands_parental_retirement,Netherlands,2004,2021,Sample without fertility restriction reduced-form effect,number of children born before the end of 2021,births_per_woman,delayed_maternal_retirement_reform_assignment,0.029,0.012,1.7215,1.6242,0.0973,0.298,large,absolute availability-oriented effect divided by absolute observed TFR decline over the study window,Effect is about 29.8% of the observed SDT TFR decline in Netherlands.,"Noob-scale comparison only: outcomes include probabilities and births per woman, while observed decline is TFR; use for slope-sufficiency screening, not coefficient pooling."
ilciukas_2023_netherlands_parental_retirement_e04,ilciukas_2023_netherlands_parental_retirement,Netherlands,2004,2021,Sample without fertility restriction IV fertility-retirement trade-off,number of children born before the end of 2021,births_per_woman,one_year_maternal_retirement_delay_iv,0.145,0.072,1.7215,1.6242,0.0973,1.4902,large,absolute availability-oriented effect divided by absolute observed TFR decline over the study window,Effect is about 149.0% of the observed SDT TFR decline in Netherlands.,"Noob-scale comparison only: outcomes include probabilities and births per woman, while observed decline is TFR; use for slope-sufficiency screening, not coefficient pooling."
akyol_atalay_2025_australia_grandmothers_pension_e01,akyol_atalay_2025_australia_grandmothers_pension,Australia,2001,2022,Maternal grandmother age-pension eligibility on daughter being a mother,Being Mother,probability_of_birth,maternal_grandmother_pension_eligibility_binary,0.046,0.008,1.7385,1.638,0.1005,0.4577,large,absolute availability-oriented effect divided by absolute observed TFR decline over the study window,Effect is about 45.8% of the observed SDT TFR decline in Australia.,"Noob-scale comparison only: outcomes include probabilities and births per woman, while observed decline is TFR; use for slope-sufficiency screening, not coefficient pooling."
akyol_atalay_2025_australia_grandmothers_pension_e02,akyol_atalay_2025_australia_grandmothers_pension,Australia,2001,2022,Maternal grandmother age-pension eligibility on number of children,Number of Children,births_per_woman,maternal_grandmother_pension_eligibility_binary,0.067,0.023,1.7385,1.638,0.1005,0.6667,large,absolute availability-oriented effect divided by absolute observed TFR decline over the study window,Effect is about 66.7% of the observed SDT TFR decline in Australia.,"Noob-scale comparison only: outcomes include probabilities and births per woman, while observed decline is TFR; use for slope-sufficiency screening, not coefficient pooling."
