effect_id,country_or_region,window,harmonized_outcome_unit,availability_oriented_effect,denominator_used,denominator_definition,tfr_start,tfr_end,reported_share,reported_share_pct,reported_label,unit_mismatch,denominator_verdict
eibich_siedler_2020_germany_parental_retirement_e01,Germany,1984-2017,probability_of_birth,0.166,,in_window_tfr_change,1.3889,1.5696,,,not_applicable_no_observed_decline,yes_probability_effect_over_tfr_denominator,no_denominator_tfr_did_not_decline_in_window
eibich_siedler_2020_germany_parental_retirement_e02,Germany,1984-2017,probability_of_birth,0.114,,in_window_tfr_change,1.3889,1.5696,,,not_applicable_no_observed_decline,yes_probability_effect_over_tfr_denominator,no_denominator_tfr_did_not_decline_in_window
ilciukas_2023_netherlands_parental_retirement_e01,Netherlands,2004-2021,births_per_woman,0.056,0.0973,in_window_tfr_change,1.7215,1.6242,0.5755,57.6,large,no_both_births_per_woman,share_of_in_window_movement_not_of_the_phenomenon
ilciukas_2023_netherlands_parental_retirement_e02,Netherlands,2004-2021,births_per_woman,0.266,0.0973,in_window_tfr_change,1.7215,1.6242,2.7338,273.4,large,no_both_births_per_woman,impossible_as_a_share_denominator_is_not_the_phenomenon
ilciukas_2023_netherlands_parental_retirement_e03,Netherlands,2004-2021,births_per_woman,0.029,0.0973,in_window_tfr_change,1.7215,1.6242,0.298,29.8,large,no_both_births_per_woman,share_of_in_window_movement_not_of_the_phenomenon
ilciukas_2023_netherlands_parental_retirement_e04,Netherlands,2004-2021,births_per_woman,0.145,0.0973,in_window_tfr_change,1.7215,1.6242,1.4902,149.0,large,no_both_births_per_woman,impossible_as_a_share_denominator_is_not_the_phenomenon
akyol_atalay_2025_australia_grandmothers_pension_e01,Australia,2001-2022,probability_of_birth,0.046,0.1005,in_window_tfr_change,1.7385,1.638,0.4577,45.8,large,yes_probability_effect_over_tfr_denominator,share_of_in_window_movement_not_of_the_phenomenon
akyol_atalay_2025_australia_grandmothers_pension_e02,Australia,2001-2022,births_per_woman,0.067,0.1005,in_window_tfr_change,1.7385,1.638,0.6667,66.7,large,no_both_births_per_woman,share_of_in_window_movement_not_of_the_phenomenon
